Wavelength,Intensity
134.711434,15
135.93863,17
137.16491,18
138.390274,19
139.614721,20
140.838253,20
142.060869,20
143.282569,20
144.503353,20
145.72322,21
146.942172,21
148.160208,21
149.377328,21
150.593532,23
151.808819,24
153.023191,25
154.236647,25
155.449187,25
156.660811,24
157.871519,23
159.081311,23
160.290187,24
161.498147,25
162.70519,25
163.911318,24
165.11653,23
166.320826,23
167.524206,22
168.72667,22
169.928218,23
171.12885,23
172.328566,24
173.527366,24
174.72525,23
175.922218,23
177.11827,23
178.313406,22
179.507626,22
180.70093,22
181.893318,22
183.08479,22
184.275346,22
185.464986,22
186.65371,22
187.841518,23
189.02841,23
190.214386,22
191.399446,21
192.58359,21
193.766818,21
194.949131,22
196.130527,22
197.311007,22
198.490571,21
199.669219,21
200.846951,21
202.023767,22
203.199667,22
204.374652,23
205.54872,23
206.721872,23
207.894108,23
209.065428,23
210.235832,23
211.405321,22
212.573893,22
213.741549,22
214.908289,21
216.074113,21
217.239022,21
218.403014,21
219.56609,22
220.72825,22
221.889495,22
223.049823,22
224.209235,22
225.367731,21
226.525312,21
227.681976,21
228.837724,22
229.992557,22
231.146473,22
232.299473,22
233.451558,22
234.602726,22
235.752978,22
236.902315,22
238.050735,21
239.198239,21
240.344828,21
241.4905,21
242.635256,21
243.779097,21
244.922021,22
246.06403,22
247.205122,22
248.345298,22
249.484559,22
250.622903,22
251.760332,22
252.896844,22
254.03244,22
255.167121,22
256.300885,22
257.433734,22
258.565666,21
259.696683,22
260.826783,22
261.955968,22
263.084236,22
264.211589,22
265.338025,21
266.463546,21
267.58815,21
268.711839,21
269.834611,21
270.956468,21
272.077409,21
273.197433,21
274.316542,21
275.434734,21
276.552011,21
277.668371,20
278.783816,20
279.898345,20
281.011957,20
282.124654,19
283.236435,20
284.347299,21
285.457248,21
286.56628,21
287.674397,22
288.781598,22
289.887882,22
290.993251,21
292.097704,21
293.20124,21
294.303861,21
295.405566,21
296.506355,21
297.606227,22
298.705184,23
299.803225,23
300.90035,22
301.996558,21
303.091851,20
304.186228,21
305.279689,21
306.372233,22
307.463862,23
308.554575,23
309.644372,23
310.733252,23
311.821217,23
312.908266,23
313.994399,23
315.079616,23
316.163917,22
317.247301,22
318.32977,23
319.411323,23
320.49196,24
321.571681,23
322.650486,23
323.728375,23
324.805347,24
325.881404,24
326.956545,24
328.03077,24
329.104079,24
330.176472,24
331.247949,24
332.31851,24
333.388155,24
334.456884,24
335.524697,24
336.591594,24
337.657575,24
338.72264,24
339.786789,24
340.850022,25
341.912339,26
