Wavelength,Intensity
727.004591,58
727.653795,58
728.302083,58
728.949456,59
729.595912,59
730.241452,60
730.886076,60
731.529784,60
732.172576,59
732.814452,59
733.455413,59
734.095457,59
734.734585,59
735.372797,58
736.010093,58
736.646474,59
737.281938,59
737.916486,59
738.550118,59
739.182835,59
739.814635,59
740.445519,58
741.075487,58
741.70454,58
742.332676,59
742.959896,60
743.586201,60
744.211589,61
744.836061,60
745.459617,60
746.082258,59
746.703982,59
747.32479,59
747.944683,59
748.563659,59
749.181719,58
749.798864,57
750.415092,57
751.030405,57
751.644801,57
752.258281,58
752.870846,58
753.482494,57
754.093227,57
754.703043,57
755.311943,57
755.919928,57
756.526996,57
757.133149,57
757.738385,56
758.342706,55
758.94611,55
759.548599,55
760.150171,55
760.750828,55
761.350568,54
761.949393,53
762.547301,50
763.144294,46
763.74037,41
764.335531,38
764.929775,36
765.523104,35
766.115516,36
766.707013,38
767.297593,40
767.887258,42
768.476007,43
769.063839,42
769.650756,42
770.236756,42
770.821841,43
771.40601,46
771.989262,49
772.571599,50
773.153019,49
773.733524,46
774.313113,43
774.891785,42
775.469542,42
776.046383,43
776.622307,45
777.197316,46
777.771409,44
778.344585,42
778.916846,40
779.488191,40
780.05862,41
780.628132,44
781.196729,48
781.76441,52
782.331175,54
782.897023,55
783.461956,55
784.025973,55
784.589074,56
785.151258,55
785.712527,55
786.27288,55
786.832317,54
787.390838,54
787.948442,54
788.505131,54
789.060904,54
789.615761,55
790.169702,55
790.722727,55
791.274835,54
791.826028,54
792.376305,53
792.925666,52
793.474111,51
794.02164,51
794.568253,52
795.11395,52
795.65873,52
796.202595,53
796.745544,54
797.287577,54
797.828694,54
798.368895,54
798.90818,54
799.446549,54
799.984002,53
800.520539,53
801.05616,53
801.590865,53
802.124654,53
802.657527,53
803.189484,53
803.720525,53
804.25065,52
804.779859,52
805.308152,52
805.835529,52
806.36199,52
806.887535,52
807.412164,52
807.935877,51
808.458674,50
808.980555,50
809.501521,49
810.02157,49
810.540703,49
811.05892,49
811.576221,48
812.092606,47
812.608075,47
813.122628,46
813.636266,46
814.148987,46
814.660792,47
815.171681,46
815.681654,45
816.190711,43
816.698853,41
817.206078,39
817.712387,38
818.21778,38
818.722257,37
819.225819,37
819.728464,36
820.230193,35
820.731006,33
821.230904,31
821.729885,31
822.22795,29
822.725099,29
823.221333,28
